Artist,Country,Type,Gender,Rating,Tags
Hozier,IE,Person,Male,"{'votes-count': 1, 'value': 3}","[{'count': 2, 'name': 'blues'}, {'name': 'blues rock', 'count': 4}, {'count': 1, 'name': 'chamber pop'}, {'name': 'folk rock', 'count': 1}, {'count': 2, 'name': 'indie rock'}, {'count': 1, 'name': 'pop rock'}, {'count': 3, 'name': 'pop soul'}, {'count': 1, 'name': 'rock'}, {'name': 'singer-songwriter', 'count': 1}, {'name': 'soul', 'count': 2}]"
Band Aid,,Group,,"{'votes-count': 1, 'value': 4}","[{'name': 'british', 'count': 1}]"
Gracie Abrams,US,Person,Female,"{'votes-count': 0, 'value': None}","[{'count': 1, 'name': 'bedroom pop'}, {'count': 2, 'name': 'folk pop'}, {'name': 'pop', 'count': 1}, {'name': 'singer-songwriter', 'count': 1}]"
Bing Crosby,US,Person,Male,"{'votes-count': 3, 'value': 3}","[{'name': '2008 universal fire victim', 'count': 1}, {'count': 1, 'name': 'american'}, {'count': 1, 'name': 'film soundtrack'}, {'name': 'jazz', 'count': 4}, {'count': 2, 'name': 'pop'}, {'name': 'standards', 'count': 1}, {'name': 'traditional pop', 'count': 1}, {'name': 'vocal jazz', 'count': 2}]"
John Scott Trotter,US,Person,Male,"{'votes-count': 0, 'value': None}",[]
Duke Ellington and His Orchestra,US,Orchestra,,"{'votes-count': 2, 'value': 5}","[{'count': 3, 'name': 'big band'}, {'count': 2, 'name': 'jazz'}, {'count': 1, 'name': 'swing'}]"
Tito Double P,,Person,Male,"{'value': 5, 'votes-count': 1}","[{'name': 'corrido', 'count': 1}, {'count': 1, 'name': 'latin'}, {'count': 1, 'name': 'regional mexicano'}]"
Eartha Kitt,US,Person,Female,"{'value': None, 'votes-count': 0}","[{'count': 1, 'name': '2008 universal fire victim'}, {'name': 'american', 'count': 1}, {'name': 'death by cancer', 'count': 1}, {'count': 1, 'name': 'easy listening'}, {'count': 1, 'name': 'jazz'}, {'count': 1, 'name': 'vocal jazz'}]"
"Tyler, The Creator",US,Person,Male,"{'value': 4.75, 'votes-count': 4}","[{'name': '_fix whosampled dupe url', 'count': 1}, {'name': 'hardcore hip hop', 'count': 2}, {'name': 'hip hop', 'count': 3}, {'count': 1, 'name': 'horrorcore'}, {'name': 'west coast hip hop', 'count': 1}]"
Sexyy Red,US,Person,Female,"{'value': None, 'votes-count': 0}","[{'name': 'hip hop', 'count': 1}, {'count': 1, 'name': 'trap'}]"
